YEAR	STATE	CROP	AREA	PRODUCTION	PA
1998	HARYANA 	Arhar	14247	13500	0.947568
1998	HARYANA 	Bajra	613174	618000	1.00787
1998	HARYANA 	Barley	36376	100000	2.74907
1998	HARYANA 	Cotton(lint)	583165	874000	1.49872
1998	HARYANA 	Dry chillies	1891	1400	0.740349
1998	HARYANA 	Gram	356872	294000	0.823825
1998	HARYANA 	Groundnut	1196	800	0.668896
1998	HARYANA 	Jowar	129910	25000	0.192441
1998	HARYANA 	Maize	20117	39000	1.93866
1998	HARYANA 	Masoor	11106	7600	0.684315
1998	HARYANA 	Moong	20763	5400	0.260078
1998	HARYANA 	Moth	2189	400	0.182732
1998	HARYANA 	Onion	4707	59700	12.6832
1998	HARYANA 	Peas & beans (Pulses)	1742	1800	1.0333
1998	HARYANA 	Potato	13467	212700	15.7942
1998	HARYANA 	Rapeseed &Mustard	497788	615000	1.23547
1998	HARYANA 	Rice	1086694	2432000	2.23798
1998	HARYANA 	Sannhamp	797	200	0.250941
1998	HARYANA 	Sesamum	3098	1000	0.322789
1998	HARYANA 	Sugarcane	128074	7010000	54.734
1998	HARYANA 	Sunflower	24721	35700	1.44412
1998	HARYANA 	Sweet potato	176	1500	8.52273
1998	HARYANA 	Urad	1957	500	0.255493
1998	HARYANA 	Wheat	2185662	8527000	3.90134
