













ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0





ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0

ANDHRA PRADESH,2003,6.11743
JAMMU AND KASHMIR,2003,1.07586
KARNATAKA ,2003,6.73746
MADHYA PRADESH,2003,0
MANIPUR ,2003,4.857
TAMIL NADU,2003,0





ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0

ANDHRA PRADESH,2003,6.11743
JAMMU AND KASHMIR,2003,1.07586
KARNATAKA ,2003,6.73746
MADHYA PRADESH,2003,0
MANIPUR ,2003,4.857
TAMIL NADU,2003,0






ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0

ANDHRA PRADESH,2003,6.11743
JAMMU AND KASHMIR,2003,1.07586
KARNATAKA ,2003,6.73746
MADHYA PRADESH,2003,0
MANIPUR ,2003,4.857
TAMIL NADU,2003,0







ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0

ANDHRA PRADESH,2003,6.11743
JAMMU AND KASHMIR,2003,1.07586
KARNATAKA ,2003,6.73746
MADHYA PRADESH,2003,0
MANIPUR ,2003,4.857
TAMIL NADU,2003,0








ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0

ANDHRA PRADESH,2003,6.11743
JAMMU AND KASHMIR,2003,1.07586
KARNATAKA ,2003,6.73746
MADHYA PRADESH,2003,0
MANIPUR ,2003,4.857
TAMIL NADU,2003,0









ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0

ANDHRA PRADESH,2003,6.11743
JAMMU AND KASHMIR,2003,1.07586
KARNATAKA ,2003,6.73746
MADHYA PRADESH,2003,0
MANIPUR ,2003,4.857
TAMIL NADU,2003,0










ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0

ANDHRA PRADESH,2003,6.11743
JAMMU AND KASHMIR,2003,1.07586
KARNATAKA ,2003,6.73746
MADHYA PRADESH,2003,0
MANIPUR ,2003,4.857
TAMIL NADU,2003,0











ANDHRA PRADESH,2002,3.94802
JAMMU AND KASHMIR,2002,1.00246
KARNATAKA ,2002,7.30377
MADHYA PRADESH,2002,0
MANIPUR ,2002,4.60289
TAMIL NADU,2002,0

ANDHRA PRADESH,2003,6.11743
JAMMU AND KASHMIR,2003,1.07586
KARNATAKA ,2003,6.73746
MADHYA PRADESH,2003,0
MANIPUR ,2003,4.857
TAMIL NADU,2003,0








