













JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0





JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0

JAMMU AND KASHMIR,2003,0.888889
MANIPUR ,2003,7.5019
TAMIL NADU,2003,0





JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0

JAMMU AND KASHMIR,2003,0.888889
MANIPUR ,2003,7.5019
TAMIL NADU,2003,0






JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0

JAMMU AND KASHMIR,2003,0.888889
MANIPUR ,2003,7.5019
TAMIL NADU,2003,0







JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0

JAMMU AND KASHMIR,2003,0.888889
MANIPUR ,2003,7.5019
TAMIL NADU,2003,0








JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0

JAMMU AND KASHMIR,2003,0.888889
MANIPUR ,2003,7.5019
TAMIL NADU,2003,0









JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0

JAMMU AND KASHMIR,2003,0.888889
MANIPUR ,2003,7.5019
TAMIL NADU,2003,0










JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0

JAMMU AND KASHMIR,2003,0.888889
MANIPUR ,2003,7.5019
TAMIL NADU,2003,0











JAMMU AND KASHMIR,2002,0.933333
MANIPUR ,2002,7.37011
TAMIL NADU,2002,0

JAMMU AND KASHMIR,2003,0.888889
MANIPUR ,2003,7.5019
TAMIL NADU,2003,0








