Production per Unir Area,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
ANDHRA PRADESH,4,0,4,4,3,4,4,6,4,6,4,4,0
ANDAMAN AND NICOBAR,0,0,0,0,0,0,0,0,0,53,7,4,0
ASSAM,7,7,7,7,7,7,7,7,0,7,7,7,7
BIHAR,15,12,13,12,11,12,12,13,12,13,11,0,0
CHANDIGARH,1,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,0,0,4,4,4,6,5,4,0,5,5,5,4
DADRA AND NAGAR HAVELI,0,11,7,9,9,8,8,10,0,0,0,0,0
DELHI,0,0,0,0,0,14,14,15,15,0,0,0,0
GUJARAT,9,8,3,5,6,8,9,10,8,11,9,9,9
HARYANA,9,8,7,7,8,12,10,8,10,10,10,10,0
HIMACHAL PRADESH,2,2,1,2,1,14,0,4,3,3,1,0,3
JHARKHAND,0,0,0,0,16,3,14,12,12,14,0,0,0
KARNATAKA,4,5,4,3,4,8,5,6,4,6,5,4,0
KERALA,0,0,0,0,0,0,0,0,0,7,0,7,0
MADHYA PRADESH,0,9,6,8,6,6,7,7,7,6,8,0,0
MAHARASHTRA,0,8,6,7,7,5,6,7,0,9,6,8,7
MEGHALYA,7,7,7,7,7,7,8,7,0,7,7,7,0
MIZORAM,0,0,23,7,5,6,0,9,0,0,0,0,0
NAGALAND,0,7,11,7,5,9,9,9,11,12,9,0,8
ORISSA,0,8,6,6,6,7,0,0,0,0,0,0,0
PUNJAB,6,8,8,8,8,9,8,8,96,8,9,9,9
RAJASTHAN,0,6,3,5,2,8,0,6,5,8,7,3,0
TAMIL NADU,8,7,7,6,5,5,6,5,7,7,6,7,0
UTTAR PRADESH,0,12,12,11,0,10,6,0,7,8,9,6,9
UTTARANCHAL,0,0,5,5,4,7,0,5,5,7,7,6,0
WEST BENGAL,0,7,6,7,8,10,7,8,7,8,8,7,0
