Production per Unir Area,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
ANDHRA PRADESH,0,0,0,0,38,44,0,0,0,0,0,0,0
HARYANA ,0,0,0,0,69,1,0,0,0,0,0,0,0
KARNATAKA ,0,0,0,0,42,29,0,0,0,0,0,0,0
KERALA ,0,0,0,0,40,44,0,0,0,0,0,0,0
MADHYA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR ,0,0,0,0,50,50,0,0,0,0,0,0,0
PONDICHERRY ,0,0,0,0,148,139,0,0,0,0,0,0,0
RAJASTHAN ,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,0,0,0,0,67,53,0,0,0,0,0,0,0
MAHARASHTRA ,0,0,0,0,0,18,0,0,0,0,0,0,0
